id	reference_destination	reference_template	html_element	js_handler	js_api_operation	python_route	python_backend_operation	java_destination	java_control	java_handler	java_facade	db_index_operation	expected_visible_result	test	status	note
K01	Keywords	Keyword/keywords_list.html	#searchKeywords	applyFilters	GET /api/keywords?q=	keywords.api_keywords	keywords LEFT JOIN keywords_paths ILIKE	Search	Scope=Keyword + query	SearchScreen#runRelationshipSearch	RelationshipFacade#search	CorpusDatabase#selectKeywordsMatching	Files reached through matching keywords, match type KEYWORD	RelationshipModelTest#searchKeywordForms	ADAPTED	Keyword text search lives on the Search destination (scope Keyword); the Keywords list itself is paged, not filtered.
K02	Keywords	Keyword/keywords_list.html	#statusFilter Active/Unused	applyFilters	GET /api/keywords?status=	keywords.api_keywords	EXISTS keywords_paths	Keywords	Files column	KeywordsScreen#onShow	RelationshipFacade#keywordFileCounts	CorpusDatabase#selectKeywordsWithFileCounts	Whole-case file count per row; 0 means unused	RelationshipModelTest#categoryBidirectional	ADAPTED	Status is shown as the real count rather than a two-state filter.
K03	Keywords	Keyword/keywords_list.html	#categoryFilter	applyFilters	GET /api/keywords?category=	keywords.api_keywords	keywords JOIN categorys JOIN words	Keywords	Category column	KeywordsScreen#onShow	KeywordFacade#listKeywords	CorpusDatabase#selectAllKeywords	Category word shown per row	FacadeParityTest	ADAPTED	Category is a column; filtering by it is a header sort in the table.
K04	Keywords	Keyword/keywords_list.html	#sortBtn-text/-usage_count/-status	sortBy	GET /api/keywords?sort=&order=	keywords.api_keywords	ORDER BY	Keywords	table header	KeywordsScreen#build	KeywordFacade#listKeywords	in-memory sort of the page	Rows reorder	UiParityTest	ADAPTED	JavaFX TableView column sort over the loaded page rather than a server round-trip.
K05	Keywords	Keyword/keywords_list.html	#perPage, paginator	changePageSize, renderPaginator	GET /api/keywords?page=&per_page=	keywords.api_keywords	LIMIT OFFSET	Keywords	perPage, Previous, Next	KeywordsScreen#onShow	KeywordFacade#listKeywords	CorpusDatabase#selectAllKeywords	Page label from-to of total; rows change	FacadeParityTest	VERIFIED	
K06	Keywords	Keyword/keywords_list.html	row usage badge	renderRows	GET /api/keywords	COUNT(kp.path_id)	path_keyword	Keywords	Files column	KeywordsScreen#onShow	RelationshipFacade#keywordFileCounts	CorpusDatabase#selectKeywordsWithFileCounts	COUNT(DISTINCT path_id) over the whole case	RelationshipModelTest#categoryBidirectional	VERIFIED	
K07	Keywords	Keyword/keywords_list.html	row Duplicate flag / Merge duplicates	mergeAllDuplicates	POST /api/keywords/merge-all-duplicates	keywords.merge_all_duplicates	LOWER(text) groups	Keywords	Find Duplicates	KeywordsScreen#build	KeywordFacade#mergeDuplicates	CorpusDatabase#mergeKeyword	Groups listed; on confirm merged into the oldest, edges moved	RelationshipModelTest#mergeDuplicates	VERIFIED	
K08	Keywords	Keyword/keywords_list.html	row view (href /keywords/id)	navigation	GET /keywords/<id>	keywords.keyword_detail	keywords_paths COUNT	Keywords	eye button / double-click row	KeywordsScreen#build	RelationshipFacade#keyword	CorpusDatabase#selectFilesForKeyword	Keyword Detail opens	RelationshipModelTest#keywordBidirectional	VERIFIED	
K09	Keywords	Keyword/keywords_list.html	row edit	editKeywordInModal, submitUpdateKeyword	PUT /api/keywords/<id>	keywords.update_keyword	UPDATE keywords	Keywords	pencil button	KeywordsScreen#build	KeywordFacade#updateKeyword	CorpusDatabase#updateKeyword	Phrase renamed; rejected under three words	RelationshipModelTest#storageInvariants	VERIFIED	
K10	Keywords	Keyword/keywords_list.html	row delete	deleteKeyword	DELETE /api/keywords/<id>	keywords.delete_keyword_api	DELETE keywords	Keywords	trash button	KeywordsScreen#build	KeywordFacade#deleteKeyword	CorpusDatabase#deleteKeyword	Row disappears; edges cascade	FacadeParityTest	VERIFIED	
